target,stage,rep,fold,chosen,auc_sel,fixed,auc_fix,n_pos,n_neg
abnormal,N3,2,2,DAR,0.667673683931084,DAR,0.667673683931084,695,271
abnormal,REM,2,2,log_delta,0.7423601885967477,TAR,0.7421373926750271,858,837
abnormal,W,2,3,TAR,0.7722328332084429,TAR,0.7722328332084429,1107,962
abnormal,N1,2,3,log_delta,0.7973129549535206,log_delta,0.7973129549535206,1014,892
abnormal,N2,2,3,log_delta,0.7011992679687753,DAR,0.7137587859942345,1004,738
abnormal,N3,2,3,DAR,0.7311295380961564,DAR,0.7311295380961564,689,286
abnormal,REM,2,3,log_delta,0.7442545420884772,TAR,0.7454018103837599,858,831
abnormal,W,2,4,TAR,0.768879208129827,TAR,0.768879208129827,1118,949
abnormal,N1,2,4,log_delta,0.7954569742968997,log_delta,0.7954569742968997,1035,886
abnormal,N2,2,4,log_delta,0.6906322490850044,DAR,0.7211286664261043,1021,760
abnormal,N3,2,4,DAR,0.7155142353134231,DAR,0.7155142353134231,704,277
abnormal,REM,2,4,log_delta,0.7356461168610097,TAR,0.7237723910137255,838,823
abnormal,W,3,0,TAR,0.7871856280665843,TAR,0.7871856280665843,1112,956
abnormal,N1,3,0,log_delta,0.8004849234923492,log_delta,0.8004849234923492,1010,880
abnormal,N2,3,0,log_delta,0.710330854825083,DAR,0.7214914827138398,1003,747
abnormal,N3,3,0,DAR,0.670527499488857,DAR,0.670527499488857,730,268
abnormal,REM,3,0,log_delta,0.7448916256726482,TAR,0.7508501928451004,849,816
abnormal,W,3,1,TAR,0.7714625322997415,TAR,0.7714625322997415,1125,946
abnormal,N1,3,1,log_delta,0.804959117345958,log_delta,0.804959117345958,1038,862
abnormal,N2,3,1,DAR,0.6985132247291159,DAR,0.6985132247291159,1004,742
abnormal,N3,3,1,DAR,0.7013128135804716,DAR,0.7013128135804716,715,269
abnormal,REM,3,1,log_delta,0.7512591197259245,TAR,0.7385028853048634,853,824
abnormal,W,3,2,TAR,0.7788951621789713,TAR,0.7788951621789713,1073,998
abnormal,N1,3,2,log_delta,0.7980657797910451,log_delta,0.7980657797910451,991,916
abnormal,N2,3,2,DAR,0.7094527297812234,DAR,0.7094527297812234,982,775
abnormal,N3,3,2,DAR,0.7175721407149225,DAR,0.7175721407149225,676,292
abnormal,REM,3,2,log_delta,0.7450418193129191,TAR,0.7202433123660745,850,851
abnormal,W,3,3,TAR,0.7764276793823797,TAR,0.7764276793823797,1101,960
abnormal,N1,3,3,log_delta,0.7988548496294184,log_delta,0.7988548496294184,1024,877
abnormal,N2,3,3,DAR,0.7063359408659361,DAR,0.7063359408659361,1022,754
abnormal,N3,3,3,DAR,0.6967642526964561,DAR,0.6967642526964561,708,275
abnormal,REM,3,3,log_delta,0.7517815951975013,TAR,0.7336590397868104,845,826
abnormal,W,3,4,TAR,0.7681474115523195,TAR,0.7681474115523195,1092,978
abnormal,N1,3,4,log_delta,0.7938507849152702,log_delta,0.7938507849152702,1022,916
abnormal,N2,3,4,log_delta,0.7117386286133991,DAR,0.7141361943234878,980,778
abnormal,N3,3,4,DAR,0.6977082345503398,DAR,0.6977082345503398,666,285
abnormal,REM,3,4,log_delta,0.7546338634487989,TAR,0.7216029487208082,856,838
abnormal,W,4,0,TAR,0.7941033016567247,TAR,0.7941033016567247,1103,961
abnormal,N1,4,0,log_delta,0.8002846268482585,log_delta,0.8002846268482585,1022,889
abnormal,N2,4,0,log_delta,0.6982539640097328,DAR,0.7047046712478944,1004,745
abnormal,N3,4,0,DAR,0.7047198731501056,DAR,0.7047198731501056,688,275
abnormal,REM,4,0,log_delta,0.7425064927732611,TAR,0.7584970641373081,864,820
abnormal,W,4,1,TAR,0.7756434057390567,TAR,0.7756434057390567,1117,950
abnormal,N1,4,1,log_delta,0.7996084817976936,log_delta,0.7996084817976936,1035,881
abnormal,N2,4,1,DAR,0.702751185054373,DAR,0.702751185054373,1015,742
abnormal,N3,4,1,DAR,0.6988213178885333,DAR,0.6988213178885333,729,270
abnormal,REM,4,1,log_delta,0.7605133710358409,TAR,0.73777760222773,851,833
abnormal,W,4,2,TAR,0.767354420530687,TAR,0.767354420530687,1111,959
abnormal,N1,4,2,log_delta,0.7990945845017197,log_delta,0.7990945845017197,1021,876
abnormal,N2,4,2,DAR,0.720506819732915,DAR,0.720506819732915,1016,773
abnormal,N3,4,2,DAR,0.7062450364594614,DAR,0.7062450364594614,729,285
abnormal,REM,4,2,log_delta,0.7478764642634825,TAR,0.7259294889932657,862,820
abnormal,W,4,3,TAR,0.769786275458912,TAR,0.769786275458912,1070,1004
abnormal,N1,4,3,log_delta,0.7988707731064308,log_delta,0.7988707731064308,984,923
abnormal,N2,4,3,log_delta,0.6963996321972976,DAR,0.7121107938228561,962,771
abnormal,N3,4,3,DAR,0.7250109217999127,DAR,0.7250109217999127,654,280
abnormal,REM,4,3,log_delta,0.7521039379366664,TAR,0.724191316577443,824,856
abnormal,W,4,4,TAR,0.7749263880835298,TAR,0.7749263880835298,1102,964
abnormal,N1,4,4,log_delta,0.798922957909133,log_delta,0.798922957909133,1023,882
abnormal,N2,4,4,DAR,0.7106074354624479,DAR,0.7106074354624479,994,765
abnormal,N3,4,4,DAR,0.6557386348985328,DAR,0.6557386348985328,695,279
abnormal,REM,4,4,log_delta,0.7450110266116472,TAR,0.719351419249963,852,826
gen_pathologic,W,0,0,TAR,0.8541581291966224,TAR,0.8541581291966224,783,963
gen_pathologic,N1,0,0,log_delta,0.8623346170495186,log_delta,0.8623346170495186,709,883
gen_pathologic,N2,0,0,DAR,0.7732116852742597,DAR,0.7732116852742597,731,744
gen_pathologic,N3,0,0,DAR,0.7312428950359984,DAR,0.7312428950359984,580,273
gen_pathologic,REM,0,0,DAR,0.7939576118813751,TAR,0.8168552633272828,567,822
gen_pathologic,W,0,1,TAR,0.86049035883029,TAR,0.86049035883029,764,984
gen_pathologic,N1,0,1,DAR,0.8709778501141168,log_delta,0.8836881555480725,708,906
gen_pathologic,N2,0,1,DAR,0.8018667986028549,DAR,0.8018667986028549,709,764
gen_pathologic,N3,0,1,DAR,0.7609507118039542,DAR,0.7609507118039542,555,293
gen_pathologic,REM,0,1,TAR,0.834324408146387,TAR,0.834324408146387,569,850
gen_pathologic,W,0,2,TAR,0.8592680532710775,TAR,0.8592680532710775,802,940
gen_pathologic,N1,0,2,log_delta,0.877679147962875,log_delta,0.877679147962875,743,865
gen_pathologic,N2,0,2,DAR,0.7988576434515988,DAR,0.7988576434515988,750,761
gen_pathologic,N3,0,2,DAR,0.7620479549402537,DAR,0.7620479549402537,628,242
gen_pathologic,REM,0,2,TAR,0.8434924394834188,TAR,0.8434924394834188,608,811
gen_pathologic,W,0,3,TAR,0.8469260819568185,TAR,0.8469260819568185,769,968
gen_pathologic,N1,0,3,log_delta,0.8709504494888397,log_delta,0.8709504494888397,705,897
gen_pathologic,N2,0,3,DAR,0.8037675757844145,DAR,0.8037675757844145,727,761
gen_pathologic,N3,0,3,DAR,0.7400346620450607,DAR,0.7400346620450607,577,285
gen_pathologic,REM,0,3,TAR,0.8198878371229879,TAR,0.8198878371229879,563,826
gen_pathologic,W,0,4,TAR,0.8569578255174569,TAR,0.8569578255174569,765,983
gen_pathologic,N1,0,4,log_delta,0.8753387925497751,log_delta,0.8753387925497751,692,900
gen_pathologic,N2,0,4,DAR,0.799663828874474,DAR,0.799663828874474,706,766
gen_pathologic,N3,0,4,DAR,0.764147333173882,DAR,0.764147333173882,565,296
gen_pathologic,REM,0,4,DAR,0.8332074489421444,TAR,0.8269281648189398,554,846
gen_pathologic,W,1,0,TAR,0.8534571019955358,TAR,0.8534571019955358,765,978
gen_pathologic,N1,1,0,DAR,0.8671702804140469,log_delta,0.8796952818085471,709,885
gen_pathologic,N2,1,0,DAR,0.7877207261663509,DAR,0.7877207261663509,719,757
gen_pathologic,N3,1,0,DAR,0.7521088209148988,DAR,0.7521088209148988,577,271
gen_pathologic,REM,1,0,DAR,0.8189296061875924,TAR,0.8320504690019358,587,822
gen_pathologic,W,1,1,TAR,0.8569252004034612,TAR,0.8569252004034612,805,936
gen_pathologic,N1,1,1,log_delta,0.8690841430125499,log_delta,0.8690841430125499,759,849
gen_pathologic,N2,1,1,DAR,0.8048674732751473,DAR,0.8048674732751473,749,739
gen_pathologic,N3,1,1,DAR,0.7543628050743769,DAR,0.7543628050743769,586,265
gen_pathologic,REM,1,1,DAR,0.8297217589391043,TAR,0.8313895781637717,610,806
gen_pathologic,W,1,2,TAR,0.8497120717564949,TAR,0.8497120717564949,790,954
gen_pathologic,N1,1,2,log_delta,0.8652669663074488,log_delta,0.8652669663074488,719,898
gen_pathologic,N2,1,2,DAR,0.8042398193341589,DAR,0.8042398193341589,742,740
gen_pathologic,N3,1,2,DAR,0.7580284552845529,DAR,0.7580284552845529,615,272
gen_pathologic,REM,1,2,TAR,0.8294147557034739,TAR,0.8294147557034739,579,822
gen_pathologic,W,1,3,TAR,0.8558325244392109,TAR,0.8558325244392109,788,957
gen_pathologic,N1,1,3,log_delta,0.8704074763768135,log_delta,0.8704074763768135,712,893
gen_pathologic,N2,1,3,DAR,0.8004281417159721,DAR,0.8004281417159721,738,764
gen_pathologic,N3,1,3,DAR,0.7441269611915857,DAR,0.7441269611915857,589,282
gen_pathologic,REM,1,3,TAR,0.823108988475564,TAR,0.823108988475564,571,839
gen_pathologic,W,1,4,TAR,0.8605744370798665,TAR,0.8605744370798665,735,1013
gen_pathologic,N1,1,4,DAR,0.8704136495828053,log_delta,0.8855390049039237,658,926
gen_pathologic,N2,1,4,DAR,0.7775376884422112,DAR,0.7775376884422112,675,796
gen_pathologic,N3,1,4,DAR,0.7511345128122241,DAR,0.7511345128122241,538,299
gen_pathologic,REM,1,4,DAR,0.8181450562090563,TAR,0.825915924551361,514,866
gen_pathologic,W,2,0,TAR,0.8667872563893104,TAR,0.8667872563893104,779,968
gen_pathologic,N1,2,0,DAR,0.8766044281195795,log_delta,0.8776137442804108,715,891
gen_pathologic,N2,2,0,DAR,0.7891951010078185,DAR,0.7891951010078185,725,763
gen_pathologic,N3,2,0,DAR,0.7427028723905195,DAR,0.7427028723905195,575,277
gen_pathologic,REM,2,0,DAR,0.8368628426526289,TAR,0.8426867336457597,592,842
gen_pathologic,W,2,1,TAR,0.8577697607869678,TAR,0.8577697607869678,796,943
gen_pathologic,N1,2,1,log_delta,0.8682409362789111,log_delta,0.8682409362789111,728,869
gen_pathologic,N2,2,1,DAR,0.7986677347423443,DAR,0.7986677347423443,753,751
gen_pathologic,N3,2,1,DAR,0.7457495045434743,DAR,0.7457495045434743,597,273
gen_pathologic,REM,2,1,log_delta,0.8104858866264538,TAR,0.8309144532942314,592,811
gen_pathologic,W,2,2,TAR,0.8462475903773535,TAR,0.8462475903773535,780,971
gen_pathologic,N1,2,2,log_delta,0.8679562538411838,log_delta,0.8679562538411838,713,890
gen_pathologic,N2,2,2,DAR,0.8034336793197421,DAR,0.8034336793197421,724,742
gen_pathologic,N3,2,2,DAR,0.7410245709877714,DAR,0.7410245709877714,613,258
gen_pathologic,REM,2,2,TAR,0.8224731475445115,TAR,0.8224731475445115,583,813
gen_pathologic,W,2,3,TAR,0.8674887437850756,TAR,0.8674887437850756,762,984
gen_pathologic,N1,2,3,log_delta,0.8830468133483856,log_delta,0.8830468133483856,699,901
gen_pathologic,N2,2,3,DAR,0.8014493237850218,DAR,0.8014493237850218,707,762
gen_pathologic,N3,2,3,DAR,0.7722930125756982,DAR,0.7722930125756982,566,297
gen_pathologic,REM,2,3,DAR,0.8321157323688969,TAR,0.8399659610679715,553,850
gen_pathologic,W,2,4,TAR,0.8383269402271434,TAR,0.8383269402271434,766,972
gen_pathologic,N1,2,4,log_delta,0.872977207977208,log_delta,0.872977207977208,702,900
gen_pathologic,N2,2,4,DAR,0.7835720406414495,DAR,0.7835720406414495,714,778
gen_pathologic,N3,2,4,DAR,0.7543664514160777,DAR,0.7543664514160777,554,284
gen_pathologic,REM,2,4,TAR,0.8043177006338414,TAR,0.8043177006338414,541,839
gen_pathologic,W,3,0,TAR,0.8596925962339966,TAR,0.8596925962339966,767,976
gen_pathologic,N1,3,0,log_delta,0.8733056507813883,log_delta,0.8733056507813883,695,894
gen_pathologic,N2,3,0,DAR,0.7915467443811286,DAR,0.7915467443811286,724,764
gen_pathologic,N3,3,0,DAR,0.7524309684238342,DAR,0.7524309684238342,580,261
gen_pathologic,REM,3,0,TAR,0.8398208764260582,TAR,0.8398208764260582,565,830
gen_pathologic,W,3,1,TAR,0.8519669651652072,TAR,0.8519669651652072,781,971
gen_pathologic,N1,3,1,log_delta,0.8682687610386685,log_delta,0.8682687610386685,712,897
gen_pathologic,N2,3,1,DAR,0.8003380916604058,DAR,0.8003380916604058,726,770
gen_pathologic,N3,3,1,DAR,0.7602105474114811,DAR,0.7602105474114811,583,291
gen_pathologic,REM,3,1,TAR,0.8347271927375484,TAR,0.8347271927375484,571,828
gen_pathologic,W,3,2,TAR,0.8659726247387706,TAR,0.8659726247387706,766,982
gen_pathologic,N1,3,2,log_delta,0.8756355177006923,log_delta,0.8756355177006923,706,906
gen_pathologic,N2,3,2,DAR,0.805163814439213,DAR,0.805163814439213,704,753
gen_pathologic,N3,3,2,DAR,0.7462352813396456,DAR,0.7462352813396456,561,279
gen_pathologic,REM,3,2,DAR,0.8149048189202381,TAR,0.826600639963955,566,847
gen_pathologic,W,3,3,TAR,0.8394808090460265,TAR,0.8394808090460265,819,920
gen_pathologic,N1,3,3,DAR,0.8675511091779036,log_delta,0.8782851397267872,759,836
gen_pathologic,N2,3,3,DAR,0.7832259054634747,DAR,0.7832259054634747,774,724
gen_pathologic,N3,3,3,DAR,0.7488545197978334,DAR,0.7488545197978334,633,281
gen_pathologic,REM,3,3,DAR,0.8107183296626725,TAR,0.8097809631648147,602,801
gen_pathologic,W,3,4,TAR,0.859923154701719,TAR,0.859923154701719,750,989
gen_pathologic,N1,3,4,log_delta,0.8743316953707678,log_delta,0.8743316953707678,685,918
gen_pathologic,N2,3,4,DAR,0.7965229345186271,DAR,0.7965229345186271,695,785
gen_pathologic,N3,3,4,DAR,0.7487087933805896,DAR,0.7487087933805896,548,277
gen_pathologic,REM,3,4,TAR,0.8291495116231368,TAR,0.8291495116231368,557,849
gen_pathologic,W,4,0,TAR,0.8653477579079087,TAR,0.8653477579079087,812,933
gen_pathologic,N1,4,0,log_delta,0.8766488972028067,log_delta,0.8766488972028067,751,867
gen_pathologic,N2,4,0,DAR,0.7966570288158471,DAR,0.7966570288158471,754,733
gen_pathologic,N3,4,0,DAR,0.7674994386470804,DAR,0.7674994386470804,598,283
gen_pathologic,REM,4,0,TAR,0.8338452664215155,TAR,0.8338452664215155,603,805
gen_pathologic,W,4,1,TAR,0.8475450533777298,TAR,0.8475450533777298,749,996
gen_pathologic,N1,4,1,log_delta,0.879760019198464,log_delta,0.879760019198464,675,926
gen_pathologic,N2,4,1,DAR,0.793315161535368,DAR,0.793315161535368,695,805
gen_pathologic,N3,4,1,DAR,0.7555487917688696,DAR,0.7555487917688696,553,303
gen_pathologic,REM,4,1,TAR,0.8199995762352742,TAR,0.8199995762352742,552,855
gen_pathologic,W,4,2,TAR,0.8423621493859871,TAR,0.8423621493859871,787,951
gen_pathologic,N1,4,2,DAR,0.8630817011786792,log_delta,0.8763536541575059,724,877
gen_pathologic,N2,4,2,DAR,0.7950813324433661,DAR,0.7950813324433661,727,746
gen_pathologic,N3,4,2,DAR,0.7285863421092834,DAR,0.7285863421092834,584,269
gen_pathologic,REM,4,2,DAR,0.8072018287168837,TAR,0.8124183608534012,584,818
gen_pathologic,W,4,3,TAR,0.8593818017731061,TAR,0.8593818017731061,780,966
gen_pathologic,N1,4,3,log_delta,0.8590856660036931,log_delta,0.8590856660036931,719,879
gen_pathologic,N2,4,3,DAR,0.7975717858966761,DAR,0.7975717858966761,727,738
gen_pathologic,N3,4,3,DAR,0.7830057949105569,DAR,0.7830057949105569,588,270
gen_pathologic,REM,4,3,DAR,0.848455397726067,TAR,0.8508999393108599,574,821
gen_pathologic,W,4,4,TAR,0.8650435270241402,TAR,0.8650435270241402,755,992
gen_pathologic,N1,4,4,log_delta,0.8763084618161192,log_delta,0.8763084618161192,688,902
gen_pathologic,N2,4,4,DAR,0.7960109819121447,DAR,0.7960109819121447,720,774
gen_pathologic,N3,4,4,DAR,0.7214021659897948,DAR,0.7214021659897948,582,264
gen_pathologic,REM,4,4,TAR,0.8243762364417764,TAR,0.8243762364417764,548,856
focal,W,0,0,TAR,0.7889365173724855,TAR,0.7889365173724855,749,959
focal,N1,0,0,log_delta,0.8139077716013182,log_delta,0.8139077716013182,695,871
focal,N2,0,0,log_delta,0.7268436578171091,DAR,0.7232958622339154,678,740
focal,N3,0,0,DAR,0.7042006462532697,DAR,0.7042006462532697,485,268
focal,REM,0,0,log_delta,0.7635874862765619,TAR,0.7232041534562543,585,833
focal,W,0,1,TAR,0.7830133984299148,TAR,0.7830133984299148,767,940
focal,N1,0,1,log_delta,0.8028717090659652,log_delta,0.8028717090659652,723,863
focal,N2,0,1,log_delta,0.7107343222555033,DAR,0.7087810424887875,684,738
focal,N3,0,1,DAR,0.6625672043010752,DAR,0.6625672043010752,496,270
focal,REM,0,1,log_delta,0.7559252433149029,TAR,0.7389902027354738,624,793
focal,W,0,2,TAR,0.761445681511471,TAR,0.761445681511471,720,988
focal,N1,0,2,log_delta,0.7913273943240406,log_delta,0.7913273943240406,674,922
focal,N2,0,2,log_delta,0.694252967646755,DAR,0.6785216627007096,657,781
focal,N3,0,2,DAR,0.6857684525800953,DAR,0.6857684525800953,427,294
focal,REM,0,2,log_delta,0.75525871719045,TAR,0.7237231216480376,562,852
focal,W,0,3,TAR,0.7661099667783448,TAR,0.7661099667783448,734,967
focal,N1,0,3,log_delta,0.7935033923983927,log_delta,0.7935033923983927,680,893
focal,N2,0,3,log_delta,0.7124611832152241,DAR,0.7042300342383948,661,760
focal,N3,0,3,DAR,0.7096560846560847,DAR,0.7096560846560847,456,252
focal,REM,0,3,log_delta,0.7502065028868153,TAR,0.7243572003489951,571,829
focal,W,0,4,TAR,0.7629435743039816,TAR,0.7629435743039816,721,984
focal,N1,0,4,log_delta,0.80902435729747,log_delta,0.80902435729747,673,902
focal,N2,0,4,log_delta,0.7190548450032517,DAR,0.6988338869977717,659,777
focal,N3,0,4,DAR,0.7024992135342025,DAR,0.7024992135342025,469,305
focal,REM,0,4,log_delta,0.7545408197101834,TAR,0.7174350067977584,569,848
focal,W,1,0,TAR,0.7894348660078296,TAR,0.7894348660078296,746,956
focal,N1,1,0,log_delta,0.8189853288019137,log_delta,0.8189853288019137,686,869
focal,N2,1,0,log_delta,0.737824804086424,DAR,0.7293656207366984,688,733
focal,N3,1,0,DAR,0.7011685405185453,DAR,0.7011685405185453,473,239
focal,REM,1,0,log_delta,0.7642103872470365,TAR,0.7362339037731708,573,819
focal,W,1,1,TAR,0.7469026200603462,TAR,0.7469026200603462,722,986
focal,N1,1,1,log_delta,0.7817983414769986,log_delta,0.7817983414769986,678,911
focal,N2,1,1,log_delta,0.7037860624950052,DAR,0.6783664988412051,645,776
focal,N3,1,1,DAR,0.6874255686554722,DAR,0.6874255686554722,432,311
focal,REM,1,1,log_delta,0.7403908443100843,TAR,0.7178981944421374,572,842
focal,W,1,2,TAR,0.7805887323943661,TAR,0.7805887323943661,710,1000
focal,N1,1,2,log_delta,0.8125393731789905,log_delta,0.8125393731789905,664,918
focal,N2,1,2,log_delta,0.710845554952019,DAR,0.7172240197120343,644,789
focal,N3,1,2,DAR,0.708569338976721,DAR,0.708569338976721,464,277
focal,REM,1,2,log_delta,0.7730526350086853,TAR,0.7553766232708359,573,857
focal,W,1,3,TAR,0.7703385731897894,TAR,0.7703385731897894,746,959
focal,N1,1,3,log_delta,0.79273796772608,log_delta,0.79273796772608,701,891
focal,N2,1,3,log_delta,0.7120703711142881,DAR,0.6803604412569759,678,749
focal,N3,1,3,DAR,0.6785133070390506,DAR,0.6785133070390506,477,295
focal,REM,1,3,log_delta,0.7514687961728073,TAR,0.705706470923076,587,829
focal,W,1,4,TAR,0.7739060136723072,TAR,0.7739060136723072,767,937
focal,N1,1,4,log_delta,0.8035667993104254,log_delta,0.8035667993104254,716,862
focal,N2,1,4,log_delta,0.7028806439775451,DAR,0.7078814637840707,684,749
focal,N3,1,4,DAR,0.6846505380494357,DAR,0.6846505380494357,487,267
focal,REM,1,4,log_delta,0.7501409175571022,TAR,0.7143948305721661,606,808
focal,W,2,0,TAR,0.776873642062151,TAR,0.776873642062151,786,917
focal,N1,2,0,log_delta,0.8192114038888233,log_delta,0.8192114038888233,728,837
focal,N2,2,0,log_delta,0.7198120156405494,DAR,0.72091492512753,708,721
focal,N3,2,0,DAR,0.6979349051399515,DAR,0.6979349051399515,519,241
focal,REM,2,0,log_delta,0.7640948353708283,TAR,0.731019536285677,609,791
focal,W,2,1,TAR,0.7677442587346288,TAR,0.7677442587346288,721,986
focal,N1,2,1,log_delta,0.8034800025444337,log_delta,0.8034800025444337,673,911
focal,N2,2,1,log_delta,0.708832332385481,DAR,0.6935133072968901,657,774
focal,N3,2,1,DAR,0.6907594946810632,DAR,0.6907594946810632,459,273
focal,REM,2,1,log_delta,0.7637429743154042,TAR,0.7290556989739233,572,856
focal,W,2,2,TAR,0.7514694167852063,TAR,0.7514694167852063,703,1000
focal,N1,2,2,log_delta,0.7886448680654824,log_delta,0.7886448680654824,651,922
focal,N2,2,2,log_delta,0.7185920634545182,DAR,0.6847793520511547,631,804
focal,N3,2,2,DAR,0.6738461538461539,DAR,0.6738461538461539,443,325
focal,REM,2,2,log_delta,0.7521945334276324,TAR,0.7075050963098557,559,860
focal,W,2,3,TAR,0.7801815922722182,TAR,0.7801815922722182,737,973
focal,N1,2,3,log_delta,0.800594550541609,log_delta,0.800594550541609,688,906
focal,N2,2,3,log_delta,0.6999166402032391,DAR,0.7058609876151158,670,752
focal,N3,2,3,DAR,0.7164403417760147,DAR,0.7164403417760147,452,290
focal,REM,2,3,log_delta,0.7513074433925819,TAR,0.7347229549259151,578,833
focal,W,2,4,TAR,0.7832626360852167,TAR,0.7832626360852167,744,962
focal,N1,2,4,log_delta,0.7974824721377912,log_delta,0.7974824721377912,705,875
focal,N2,2,4,log_delta,0.7176959821295013,DAR,0.7073985061379977,673,745
